"","t1","t2","norm.dist","dataset","test"
"180","fail","pass",NA,"Sauquet_2011","MPTS"
"181","all","fail",NA,"Seago_2011","MPTIS"
"182","all","pass",NA,"Seago_2011","MPTIS"
"183","fail","pass",NA,"Seago_2011","MPTIS"
"184","all","fail",NA,"Seago_2011","MPTMS"
"185","all","pass",NA,"Seago_2011","MPTMS"
"186","fail","pass",NA,"Seago_2011","MPTMS"
"187","all","fail",NA,"Seago_2011","MPTS"
"188","all","pass",NA,"Seago_2011","MPTS"
"189","fail","pass",NA,"Seago_2011","MPTS"
"190","all","fail",NA,"Sharanowski_2011","MPTIS"
"191","all","pass",NA,"Sharanowski_2011","MPTIS"
"192","fail","pass",NA,"Sharanowski_2011","MPTIS"
"193","all","fail",NA,"Sharanowski_2011","MPTMS"
"194","all","pass",NA,"Sharanowski_2011","MPTMS"
"195","fail","pass",NA,"Sharanowski_2011","MPTMS"
"196","all","fail",NA,"Sharanowski_2011","MPTS"
"197","all","pass",NA,"Sharanowski_2011","MPTS"
"198","fail","pass",NA,"Sharanowski_2011","MPTS"
"199","all","fail",NA,"Siler_2013","MPTIS"
"200","all","pass",NA,"Siler_2013","MPTIS"
"201","fail","pass",NA,"Siler_2013","MPTIS"
"202","all","fail",NA,"Siler_2013","MPTMS"
"203","all","pass",NA,"Siler_2013","MPTMS"
"204","fail","pass",NA,"Siler_2013","MPTMS"
"205","all","fail",NA,"Siler_2013","MPTS"
"206","all","pass",NA,"Siler_2013","MPTS"
"207","fail","pass",NA,"Siler_2013","MPTS"
"208","all","fail",NA,"Tolley_2013","MPTIS"
"209","all","pass",NA,"Tolley_2013","MPTIS"
"210","fail","pass",NA,"Tolley_2013","MPTIS"
"211","all","fail",NA,"Tolley_2013","MPTMS"
"212","all","pass",NA,"Tolley_2013","MPTMS"
"213","fail","pass",NA,"Tolley_2013","MPTMS"
"214","all","fail",NA,"Tolley_2013","MPTS"
"215","all","pass",NA,"Tolley_2013","MPTS"
"216","fail","pass",NA,"Tolley_2013","MPTS"
"217","all","fail",NA,"Unmack_2013","MPTIS"
"218","all","pass",NA,"Unmack_2013","MPTIS"
"219","fail","pass",NA,"Unmack_2013","MPTIS"
"220","all","fail",NA,"Unmack_2013","MPTMS"
"221","all","pass",NA,"Unmack_2013","MPTMS"
"222","fail","pass",NA,"Unmack_2013","MPTMS"
"223","all","fail",NA,"Unmack_2013","MPTS"
"224","all","pass",NA,"Unmack_2013","MPTS"
"225","fail","pass",NA,"Unmack_2013","MPTS"
"226","all","fail",NA,"Wainwright_2012","MPTIS"
"227","all","pass",NA,"Wainwright_2012","MPTIS"
"228","fail","pass",NA,"Wainwright_2012","MPTIS"
"229","all","fail",0.288989708461046,"Wainwright_2012","MPTMS"
"230","all","pass",0.684945914070009,"Wainwright_2012","MPTMS"
"231","fail","pass",0.738181060180484,"Wainwright_2012","MPTMS"
"232","all","fail",0.297066235072445,"Wainwright_2012","MPTS"
"233","all","pass",0.666944956129769,"Wainwright_2012","MPTS"
"234","fail","pass",0.709052800790088,"Wainwright_2012","MPTS"
"235","all","fail",0.350962202930548,"Wood_2012","MPTIS"
"236","all","pass",0.426304495131659,"Wood_2012","MPTIS"
"237","fail","pass",0.546894690360477,"Wood_2012","MPTIS"
"238","all","fail",0.36311192867573,"Wood_2012","MPTMS"
"239","all","pass",0.786564299773866,"Wood_2012","MPTMS"
"240","fail","pass",0.849936325766214,"Wood_2012","MPTMS"
"241","all","fail",0.362692712222496,"Wood_2012","MPTS"
"242","all","pass",0.786168721510046,"Wood_2012","MPTS"
"243","fail","pass",0.84065786169537,"Wood_2012","MPTS"
"244","all","fail",NA,"Worobey_2014a","MPTIS"
"245","all","pass",NA,"Worobey_2014a","MPTIS"
"246","fail","pass",NA,"Worobey_2014a","MPTIS"
"247","all","fail",NA,"Worobey_2014a","MPTMS"
"248","all","pass",NA,"Worobey_2014a","MPTMS"
"249","fail","pass",NA,"Worobey_2014a","MPTMS"
"250","all","fail",0.784029270016206,"Worobey_2014a","MPTS"
"251","all","pass",1.10239342184128,"Worobey_2014a","MPTS"
"252","fail","pass",1.12743906332203,"Worobey_2014a","MPTS"
"253","all","fail",2.5801166159177,"Worobey_2014b","MPTIS"
"254","all","pass",0.408492520311514,"Worobey_2014b","MPTIS"
"255","fail","pass",2.59367371427792,"Worobey_2014b","MPTIS"
"256","all","fail",0.485732609231747,"Worobey_2014b","MPTMS"
"257","all","pass",2.64545936041839,"Worobey_2014b","MPTMS"
"258","fail","pass",2.60915886229647,"Worobey_2014b","MPTMS"
"259","all","fail",0.402398491902885,"Worobey_2014b","MPTS"
"260","all","pass",2.8074071663937,"Worobey_2014b","MPTS"
"261","fail","pass",2.81750090934256,"Worobey_2014b","MPTS"
"262","all","fail",NA,"Worobey_2014c","MPTIS"
"263","all","pass",NA,"Worobey_2014c","MPTIS"
"264","fail","pass",NA,"Worobey_2014c","MPTIS"
"265","all","fail",NA,"Worobey_2014c","MPTMS"
"266","all","pass",NA,"Worobey_2014c","MPTMS"
"267","fail","pass",NA,"Worobey_2014c","MPTMS"
"268","all","fail",NA,"Worobey_2014c","MPTS"
"269","all","pass",NA,"Worobey_2014c","MPTS"
"270","fail","pass",NA,"Worobey_2014c","MPTS"
"271","all","fail",NA,"Worobey_2014d","MPTIS"
"272","all","pass",NA,"Worobey_2014d","MPTIS"
"273","fail","pass",NA,"Worobey_2014d","MPTIS"
"274","all","fail",NA,"Worobey_2014d","MPTMS"
"275","all","pass",NA,"Worobey_2014d","MPTMS"
"276","fail","pass",NA,"Worobey_2014d","MPTMS"
"277","all","fail",0.307526165132875,"Worobey_2014d","MPTS"
"278","all","pass",1.38676214045402,"Worobey_2014d","MPTS"
"279","fail","pass",1.48104243375942,"Worobey_2014d","MPTS"
"280","all","fail",NA,"Worobey_2014e","MPTIS"
"281","all","pass",NA,"Worobey_2014e","MPTIS"
"282","fail","pass",NA,"Worobey_2014e","MPTIS"
"283","all","fail",1.12588785448508,"Worobey_2014e","MPTMS"
"284","all","pass",0.292304152306451,"Worobey_2014e","MPTMS"
"285","fail","pass",1.11334866584987,"Worobey_2014e","MPTMS"
"286","all","fail",1.21721346715683,"Worobey_2014e","MPTS"
"287","all","pass",0.63080165907804,"Worobey_2014e","MPTS"
"288","fail","pass",1.15377323340343,"Worobey_2014e","MPTS"
"289","all","fail",1.14019115933691,"Worobey_2014f","MPTIS"
"290","all","pass",0.172596317272601,"Worobey_2014f","MPTIS"
"291","fail","pass",1.13229353381535,"Worobey_2014f","MPTIS"
"292","all","fail",0.121117829549405,"Worobey_2014f","MPTMS"
"293","all","pass",1.71664860251886,"Worobey_2014f","MPTMS"
"294","fail","pass",1.71123355857598,"Worobey_2014f","MPTMS"
"295","all","fail",0.120933896106205,"Worobey_2014f","MPTS"
"296","all","pass",1.47052452050911,"Worobey_2014f","MPTS"
"297","fail","pass",1.46526462946892,"Worobey_2014f","MPTS"
"298","all","fail",0.123499373786404,"Worobey_2014g","MPTIS"
"299","all","pass",0.822272403352291,"Worobey_2014g","MPTIS"
"300","fail","pass",0.841257417262718,"Worobey_2014g","MPTIS"
"301","all","fail",0.116070023678097,"Worobey_2014g","MPTMS"
"302","all","pass",1.64922343788491,"Worobey_2014g","MPTMS"
"303","fail","pass",1.60168974989132,"Worobey_2014g","MPTMS"
"304","all","fail",0.116059433131605,"Worobey_2014g","MPTS"
"305","all","pass",1.66055467699764,"Worobey_2014g","MPTS"
"306","fail","pass",1.61037562047911,"Worobey_2014g","MPTS"
"307","all","fail",NA,"Worobey_2014h","MPTIS"
"308","all","pass",NA,"Worobey_2014h","MPTIS"
"309","fail","pass",NA,"Worobey_2014h","MPTIS"
"310","all","fail",0.172223881464564,"Worobey_2014h","MPTMS"
"311","all","pass",0.728559711656921,"Worobey_2014h","MPTMS"
"312","fail","pass",0.69736470570551,"Worobey_2014h","MPTMS"
"313","all","fail",0.176859687242563,"Worobey_2014h","MPTS"
"314","all","pass",0.683381064859011,"Worobey_2014h","MPTS"
"315","fail","pass",0.691614094741379,"Worobey_2014h","MPTS"
